Tên_mặt_hàng,Ngày,Actual_Giá,Forecasted_Giá
20,2024-02-28,10500.0,20855.1171875
20,2024-03-01,7500.0,20824.16015625
20,2024-03-06,7500.0,20810.25
20,2024-03-08,8200.0,20771.57421875
20,2024-03-13,8200.0,20754.6640625
20,2024-03-15,8500.0,20708.9375
20,2024-03-20,8500.0,20689.28515625
20,2024-03-22,8300.0,20637.1640625
20,2024-03-27,8300.0,20615.16015625
20,2024-03-29,8300.0,20557.59375
20,2024-04-03,8500.0,20533.64453125
20,2024-04-05,8500.0,20471.9609375
20,2024-04-10,8000.0,20446.46484375
20,2024-04-12,8000.0,20382.42578125
20,2024-04-17,8000.0,20357.0703125
20,2024-04-19,8000.0,20293.98828125
20,2024-04-24,8900.0,20269.896484375
20,2024-04-26,8900.0,20210.54296875
20,2024-05-01,8200.0,20187.09375
20,2024-05-03,8200.0,20128.001953125
20,2024-05-08,8200.0,20104.703125
20,2024-05-10,8200.0,20048.15234375
20,2024-05-15,8200.0,20026.39453125
20,2024-05-17,8200.0,19973.96875
20,2024-05-22,8300.0,19953.96484375
20,2024-05-24,8300.0,19906.51171875
20,2024-05-29,8100.0,19888.31640625
20,2024-05-31,8100.0,19844.80078125
20,2024-06-05,8100.0,19828.39453125
20,2024-06-07,8100.0,19789.845703125
20,2024-06-12,8100.0,19775.431640625
20,2024-06-14,8100.0,19741.97265625
20,2024-06-19,8100.0,19729.775390625
20,2024-06-21,8100.0,19702.17578125
20,2024-06-26,8100.0,19692.0078125
20,2024-06-28,8100.0,19668.734375
20,2024-07-03,7500.0,19660.2734375
20,2024-07-05,7500.0,19640.98046875
20,2024-07-10,7500.0,19634.14453125
20,2024-07-12,7500.0,19619.3671875
20,2024-07-17,7500.0,19614.31640625
20,2024-07-19,7500.0,19603.8203125
20,2024-07-24,7500.0,19600.470703125
20,2024-07-26,7500.0,19594.138671875
20,2024-07-31,7500.0,19592.41796875
20,2024-08-02,7500.0,19590.09375
20,2024-08-07,7500.0,19589.94921875
20,2024-08-09,7400.0,19591.611328125
20,2024-08-14,7400.0,19593.09375
20,2024-08-16,7400.0,19598.83203125
20,2024-08-21,7400.0,19601.953125
20,2024-08-23,7400.0,19611.87109375
20,2024-08-28,7400.0,19616.705078125
20,2024-08-30,7400.0,19630.87890625
20,2024-09-04,7400.0,19637.375
20,2024-09-06,7400.0,19656.138671875
20,2024-09-11,7500.0,19664.4453125
20,2024-09-13,7500.0,19687.22265625
20,2024-09-18,7500.0,19697.21875
20,2024-09-20,7500.0,19724.490234375
20,2024-09-25,7400.0,19736.529296875
20,2024-09-27,7400.0,19769.533203125
20,2024-10-02,9500.0,19783.859375
20,2024-10-04,9500.0,19822.072265625
20,2024-10-09,9500.0,19838.35546875
20,2024-10-11,9550.0,19881.85546875
20,2024-10-16,9550.0,19900.046875
20,2024-10-18,9500.0,19947.435546875
20,2024-10-23,9500.0,19967.6328125
20,2024-10-25,9500.0,20020.12890625
20,2024-10-30,9500.0,20041.71484375
20,2024-11-01,9500.0,20097.607421875
20,2024-11-06,9500.0,20120.5546875
20,2024-11-08,9500.0,20179.69921875
20,2024-11-13,9500.0,20204.40234375
20,2024-11-15,9500.0,20267.56640625
20,2024-11-20,9700.0,20293.0546875
20,2024-11-22,9700.0,20356.845703125
20,2024-11-27,9500.0,20382.224609375
20,2024-11-29,9500.0,20444.291015625
20,2024-12-04,9500.0,20468.486328125
20,2024-12-06,9500.0,20528.59375
20,2024-12-09,12000.0,20552.330078125
20,2024-12-11,12000.0,19672.94140625
20,2024-12-13,12000.0,19683.578125
20,2024-12-16,12000.0,19694.072265625
20,2024-12-18,12000.0,19709.34375
20,2024-12-20,11900.0,19719.171875
20,2025-03-28,8500.0,19728.74609375
20,2025-04-04,8500.0,25322.3125
20,2025-04-25,8500.0,23104.578125
20,2025-05-09,8500.0,17051.033203125
20,2025-05-16,8500.0,18044.552734375
21,2024-02-06,26000.0,20427.8671875
21,2024-02-08,26000.0,20424.943359375
21,2024-02-13,26000.0,20422.203125
21,2024-02-15,26000.0,20411.48828125
21,2024-02-20,26000.0,20405.68359375
21,2024-02-22,26000.0,20387.42578125
21,2024-02-27,26000.0,20378.623046875
21,2024-02-29,26000.0,20353.068359375
21,2024-03-05,26000.0,20341.48828125
21,2024-03-07,26000.0,20309.376953125
21,2024-03-12,26000.0,20295.30078125
21,2024-03-14,26000.0,20257.490234375
21,2024-03-19,26000.0,20242.109375
21,2024-03-21,26000.0,20202.72265625
21,2024-03-26,26000.0,20186.21875
21,2024-03-28,26000.0,20143.171875
21,2024-04-02,26000.0,20125.302734375
21,2024-04-04,26000.0,20080.232421875
21,2024-04-09,26000.0,20062.095703125
21,2024-04-11,26000.0,20016.3984375
21,2024-04-16,26000.0,19997.92578125
21,2024-04-18,30000.0,19952.419921875
21,2024-04-23,30000.0,19934.28515625
21,2024-04-25,30000.0,19889.60546875
21,2024-04-30,30000.0,19871.830078125
21,2024-05-02,30000.0,19827.6640625
21,2024-05-07,30000.0,19810.431640625
21,2024-05-09,30000.0,19768.02734375
21,2024-05-14,30000.0,19751.533203125
21,2024-05-16,30000.0,19712.720703125
21,2024-05-21,30000.0,19698.4140625
21,2024-05-23,30000.0,19664.0546875
21,2024-05-28,30000.0,19650.79296875
21,2024-05-30,30000.0,19619.234375
21,2024-06-04,30000.0,19607.484375
21,2024-06-06,30000.0,19579.94140625
21,2024-06-11,30000.0,19569.51953125
21,2024-06-13,30000.0,19546.138671875
21,2024-06-18,30000.0,19537.41796875
21,2024-06-20,30000.0,19517.0625
21,2024-06-25,30000.0,19509.544921875
21,2024-06-27,30000.0,19492.265625
21,2024-07-02,30000.0,19485.92578125
21,2024-07-04,30000.0,19471.4609375
21,2024-07-09,30000.0,19466.32421875
21,2024-07-11,30000.0,19455.3359375
21,2024-07-16,30000.0,19451.54296875
21,2024-07-18,30000.0,19443.509765625
21,2024-07-23,30000.0,19440.875
21,2024-07-25,30000.0,19435.75390625
21,2024-07-30,30000.0,19434.29296875
21,2024-08-01,30000.0,19432.1328125
21,2024-08-06,30000.0,19431.86328125
21,2024-08-08,30000.0,19432.681640625
21,2024-08-13,30000.0,19433.60546875
21,2024-08-15,28000.0,19437.36328125
21,2024-08-20,28000.0,19439.53515625
21,2024-08-22,28000.0,19446.46484375
21,2024-08-27,28000.0,19449.83203125
21,2024-08-29,28000.0,19459.6953125
21,2024-09-03,28000.0,19464.2109375
21,2024-09-05,28000.0,19477.28515625
21,2024-09-10,28050.0,19483.171875
21,2024-09-12,28050.0,19499.28515625
21,2024-09-17,28000.0,19506.3125
21,2024-09-19,28000.0,19525.484375
21,2024-09-24,28000.0,19533.7734375
21,2024-09-26,28000.0,19555.93359375
21,2024-10-01,28000.0,19565.57421875
21,2024-10-03,28000.0,19591.765625
21,2024-10-08,28000.0,19602.7734375
21,2024-10-10,28000.0,19632.240234375
21,2024-10-15,28000.0,19644.875
21,2024-10-17,28000.0,19677.626953125
21,2024-10-22,28000.0,19691.3125
21,2024-10-24,28000.0,19727.3359375
21,2024-10-29,28000.0,19742.8671875
21,2024-10-31,28000.0,19783.53125
21,2024-11-05,28000.0,19800.4140625
21,2024-11-07,28000.0,19844.125
21,2024-11-12,28000.0,19862.01953125
21,2024-11-14,28000.0,19907.16796875
21,2024-11-19,28000.0,19925.349609375
21,2024-11-21,28000.0,19971.244140625
21,2024-11-26,28000.0,19989.8046875
21,2024-11-28,28000.0,20035.8984375
21,2024-12-03,28000.0,20054.21875
21,2024-12-05,28000.0,20099.59375
21,2024-12-09,28000.0,20117.453125
21,2024-12-10,28000.0,19190.240234375
21,2024-12-12,28100.0,19191.212890625
21,2024-12-16,28100.0,19193.13671875
21,2024-12-17,28100.0,19196.875
21,2024-12-19,28100.0,19197.751953125
21,2025-04-03,28000.0,19199.453125
21,2025-04-10,28000.0,31822.44921875
21,2025-04-17,28000.0,29684.21484375
21,2025-04-24,28000.0,27338.33984375
21,2025-05-15,28000.0,24897.08203125
22,2024-02-06,18500.0,20569.015625
22,2024-02-08,18500.0,20566.14453125
22,2024-02-13,18500.0,20563.439453125
22,2024-02-15,18500.0,20553.00390625
22,2024-02-20,18500.0,20547.32421875
22,2024-02-22,18500.0,20529.44921875
22,2024-02-27,18500.0,20520.890625
22,2024-02-29,18500.0,20495.984375
22,2024-03-05,18500.0,20484.63671875
22,2024-03-07,18500.0,20452.9609375
22,2024-03-12,18500.0,20439.0078125
22,2024-03-14,18500.0,20401.125
22,2024-03-19,18500.0,20384.908203125
22,2024-03-21,18500.0,20341.650390625
22,2024-03-26,18500.0,20323.4375
22,2024-03-28,18500.0,20276.03515625
22,2024-04-02,18500.0,20256.482421875
22,2024-04-04,18500.0,20206.267578125
22,2024-04-09,18500.0,20185.8203125
22,2024-04-11,18500.0,20135.953125
22,2024-04-16,18500.0,20116.359375
22,2024-04-18,18500.0,20067.408203125
22,2024-04-23,18500.0,20048.12890625
22,2024-04-25,18500.0,20000.484375
22,2024-04-30,18500.0,19981.708984375
22,2024-05-02,18500.0,19935.345703125
22,2024-05-07,18500.0,19917.44140625
22,2024-05-09,18500.0,19873.740234375
22,2024-05-14,18500.0,19856.478515625
22,2024-05-16,18500.0,19814.42578125
22,2024-05-21,18500.0,19798.375
22,2024-05-23,18500.0,19759.78515625
22,2024-05-28,18500.0,19744.970703125
22,2024-05-30,18500.0,19709.794921875
22,2024-06-04,18500.0,19696.666015625
22,2024-06-06,18500.0,19666.2578125
22,2024-06-11,18500.0,19654.91796875
22,2024-06-13,18500.0,19628.140625
22,2024-06-18,18500.0,19618.125
22,2024-06-20,18500.0,19595.40625
22,2024-06-25,21000.0,19587.10546875
22,2024-06-27,21000.0,19568.01171875
22,2024-07-02,21000.0,19561.12890625
22,2024-07-04,21000.0,19546.01953125
22,2024-07-09,21000.0,19540.66796875
22,2024-07-11,22000.0,19528.837890625
22,2024-07-16,21000.0,19524.76171875
22,2024-07-18,22000.0,19516.15234375
22,2024-07-23,21000.0,19513.359375
22,2024-07-25,21000.0,19507.98046875
22,2024-07-30,21000.0,19506.4609375
22,2024-08-01,21000.0,19504.23828125
22,2024-08-06,21000.0,19503.982421875
22,2024-08-08,21000.0,19504.92578125
22,2024-08-13,21000.0,19505.9375
22,2024-08-15,21000.0,19510.0546875
22,2024-08-20,21000.0,19512.328125
22,2024-08-22,21000.0,19519.630859375
22,2024-08-27,21000.0,19523.1953125
22,2024-08-29,21000.0,19533.71875
22,2024-09-03,21000.0,19538.578125
22,2024-09-05,21000.0,19552.25390625
22,2024-09-10,21050.0,19558.4375
22,2024-09-12,21050.0,19576.0546875
22,2024-09-17,21000.0,19583.76953125
22,2024-09-19,21000.0,19604.935546875
22,2024-09-24,21000.0,19614.11328125
22,2024-09-26,21000.0,19639.359375
22,2024-10-01,21000.0,19650.26953125
22,2024-10-03,21000.0,19678.837890625
22,2024-10-08,21000.0,19690.986328125
22,2024-10-10,21000.0,19723.599609375
22,2024-10-15,21000.0,19737.59375
22,2024-10-17,21000.0,19774.73046875
22,2024-10-22,21000.0,19790.2890625
22,2024-10-24,21000.0,19831.109375
22,2024-10-29,21000.0,19848.140625
22,2024-10-31,21000.0,19891.5625
22,2024-11-05,21000.0,19909.400390625
22,2024-11-07,21000.0,19955.06640625
22,2024-11-12,21000.0,19973.5625
22,2024-11-14,21000.0,20020.609375
22,2024-11-19,21000.0,20039.625
22,2024-11-21,21000.0,20089.076171875
22,2024-11-26,21000.0,20109.234375
22,2024-11-28,21000.0,20159.6796875
22,2024-12-03,21000.0,20179.525390625
22,2024-12-05,21000.0,20228.6484375
22,2024-12-09,21000.0,20248.697265625
22,2024-12-10,21000.0,19243.830078125
22,2024-12-12,21100.0,19245.134765625
22,2024-12-16,21100.0,19247.6796875
22,2024-12-17,21100.0,19252.69921875
22,2024-12-19,21100.0,19253.91015625
22,2025-04-03,20000.0,19256.27734375
22,2025-04-10,20000.0,32082.720703125
22,2025-04-17,20000.0,30065.095703125
22,2025-04-24,20000.0,27831.6875
22,2025-05-15,20000.0,25507.458984375
34,2021-03-05,7200.0,59975.30859375
34,2021-03-08,6000.0,56848.98828125
34,2021-03-11,6900.0,20097.474609375
34,2021-03-12,6700.0,42615.42578125
34,2021-03-12,6500.0,59593.7265625
34,2021-03-12,6400.0,33391.98828125
34,2021-03-15,6200.0,56368.85546875
34,2021-03-17,6600.0,19220.169921875
34,2021-03-18,6200.0,39607.10546875
34,2021-03-19,6700.0,41975.86328125
34,2021-03-19,6500.0,55801.51953125
34,2021-03-19,6700.0,32446.96875
34,2021-03-19,6200.0,59149.33203125
34,2021-03-22,5800.0,57612.0078125
34,2021-03-24,6500.0,18288.9375
34,2021-03-25,6400.0,38885.80859375
34,2021-03-26,6700.0,41337.28515625
34,2021-03-26,6500.0,58644.14453125
34,2021-03-26,6500.0,57047.23828125
34,2021-03-26,6700.0,31352.16015625
34,2021-03-29,6616.67,55145.58203125
34,2021-03-30,4200.0,17444.119140625
34,2021-03-31,6600.0,43447.96875
34,2021-04-01,6600.0,38048.91796875
34,2021-04-01,6900.0,40650.41796875
34,2021-04-02,6600.0,34473.90234375
34,2021-04-02,6500.0,58084.50390625
34,2021-04-02,6600.0,30114.109375
34,2021-04-05,7100.0,54413.9609375
34,2021-04-06,6200.0,16880.75390625
34,2021-04-07,6700.0,42519.37890625
34,2021-04-08,6500.0,37103.67578125
34,2021-04-08,6350.0,39887.5546875
34,2021-04-09,6400.0,33295.671875
34,2021-04-09,6600.0,53612.49609375
34,2021-04-09,6300.0,57472.453125
34,2021-04-12,7100.0,28766.35546875
34,2021-04-13,6200.0,17012.626953125
34,2021-04-14,6800.0,41706.421875
34,2021-04-14,6000.0,36033.47265625
34,2021-04-16,6500.0,32195.3984375
34,2021-04-16,6200.0,27327.212890625
34,2021-04-19,6600.0,52756.97265625
34,2021-04-20,6300.0,17303.10546875
